trans_id,buyer_id,buyer,level1,level2,level3,supplier,supplier_id,proclass_code,proclass_title,proclass_level1,proclass_level2,proclass_level3,date,amount
DFT004_DFT_gov_2017_08_3441,DFT004_DFT_gov,DEPARTMENT FOR TRANSPORT,Central Government,DEPARTMENT FOR TRANSPORT,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,45360
DFT004_DFT_gov_2017_08_1489,DFT004_DFT_gov,DEPARTMENT FOR TRANSPORT,Central Government,DEPARTMENT FOR TRANSPORT,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,11003
E0306_WC_gov_2017_05_1001,E0306_WC_gov,WOKINGHAM COUNCIL,Local Government,SOUTH EAST,Berkshire,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-05-01,5000
E1521_ECC_gov_2017_04_28,E1521_ECC_gov,ESSEX COUNTY COUNCIL,Local Government,EAST OF ENGLAND,Essex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-04-01,40789.18
E1401_BHCC_gov_2017_08_956,E1401_BHCC_gov,BRIGHTON & HOVE CITY COUNCIL,Local Government,SOUTH EAST,East Sussex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,5170.84
E1521_ECC_gov_2017_04_12013,E1521_ECC_gov,ESSEX COUNTY COUNCIL,Local Government,EAST OF ENGLAND,Essex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-04-01,46749.33
E1521_ECC_gov_2017_05_5099,E1521_ECC_gov,ESSEX COUNTY COUNCIL,Local Government,EAST OF ENGLAND,Essex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-05-01,11048.67
E1401_BHCC_gov_2017_03_1239,E1401_BHCC_gov,BRIGHTON & HOVE CITY COUNCIL,Local Government,SOUTH EAST,East Sussex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-03-01,5032.78
E5010_CCOTCOL_gov_2017_10_2179,E5010_CCOTCOL_gov,COMMON COUNCIL OF THE CITY OF LONDON,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,2000
E2002_KUHCC_gov_2017_10_1445,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-10-01,-1655.48
E1521_ECC_gov_2017_06_34641,E1521_ECC_gov,ESSEX COUNTY COUNCIL,Local Government,EAST OF ENGLAND,Essex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-06-01,13950.66
E5022_WCC_gov_2017_03_3150,E5022_WCC_gov,WESTMINSTER CITY COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-03-01,35000
E5010_CCOTCOL_gov_2017_08_909,E5010_CCOTCOL_gov,COMMON COUNCIL OF THE CITY OF LONDON,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,2000
E4605_SMBC_gov_2017_10_2459,E4605_SMBC_gov,SOLIHULL METROPOLITAN BOROUGH COUNCIL,Local Government,WEST MIDLANDS,Solihull,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,13200
E4605_SMBC_gov_2017_10_2460,E4605_SMBC_gov,SOLIHULL METROPOLITAN BOROUGH COUNCIL,Local Government,WEST MIDLANDS,Solihull,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,8000
E5019_SLBC_gov_2017_08_6554,E5019_SLBC_gov,SOUTHWARK LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,5225
E5011_CLBC_gov_2017_08_2425,E5011_CLBC_gov,CAMDEN LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,3569
NFTRTH_OUHNHST_gov_2017_12_47,NFTRTH_OUHNHST_gov,OXFORD UNIVERSITY HOSPITALS NHST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,56440
FTRV9X_HNFT_gov_2017_07_10,FTRV9X_HNFT_gov,HUMBER NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-07-01,28872
E5011_CLBC_gov_2017_08_2868,E5011_CLBC_gov,CAMDEN LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-08-01,5422.5
E5035_CLBC_gov_2017_12_1600,E5035_CLBC_gov,CROYDON LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,32990.79
E4305_WMBC_gov_2017_06_1102,E4305_WMBC_gov,WIRRAL METROPOLITAN BOROUGH COUNCIL,Local Government,NORTH WEST,Merseyside,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-06-01,17526.96
NFTRTH_OUHNHST_gov_2017_12_59,NFTRTH_OUHNHST_gov,OXFORD UNIVERSITY HOSPITALS NHST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,65790
FTRRFX_WWLNHSFT_gov_2017_09_92,FTRRFX_WWLNHSFT_gov,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-09-01,58800
NFTRTH_OUHNHST_gov_2017_09_125,NFTRTH_OUHNHST_gov,OXFORD UNIVERSITY HOSPITALS NHST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-09-01,66713
NFTRTH_OUHNHST_gov_2017_09_4,NFTRTH_OUHNHST_gov,OXFORD UNIVERSITY HOSPITALS NHST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-09-01,333565
NFTRFW_WMUNFT_gov_2017_03_113,NFTRFW_WMUNFT_gov,WEST MIDDLESEX UNIVERSITY NFT,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-03-01,42000
