ocid,releasedate,buyer_id,buyer,supplier,supplier_id,aw_total_suppliers
ocds-0c46vo-0384-EDESE17C0022,2019-11-12 04:43:07.194495+00,,DEPARTMENT OF EDUCATION LTD,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-1333LB19F00000127,2019-11-12 04:33:02.88811+00,,DEPARTMENT OF COMMERCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HHSD2002010372100026,2019-11-13 03:25:46.406888+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-TDOXDCP160001,2019-11-12 03:30:29.190591+00,,DEPARTMENT OF THE TREASURY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCETC15F00019,2019-11-12 04:20:53.581094+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HT001119F0015,2019-11-12 02:57:38.935895+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-N0018919FZ666,2019-11-12 01:48:52.076293+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-W81XWH18F0003,2019-11-12 04:43:08.209987+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-140D0419F0113,2019-11-12 03:48:13.430161+00,,DEPARTMENT OF THE INTERIOR,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-28321319FA0010355,2019-11-12 03:29:10.646559+00,,SOCIAL SECURITY ADMINISTRATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T05018F1NOIA229,2019-11-12 02:35:33.323271+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-36C10X19N0060,2019-11-12 02:50:01.327185+00,,DEPARTMENT OF VETERANS AFFAIRS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-GSQ1115BJ0018,2019-11-12 02:43:55.643097+00,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-W91CRB15C0023,2019-11-12 01:42:52.059404+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-86543J18F00010,2019-11-12 03:16:18.716629+00,,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SP330018F0451,2019-11-12 03:08:47.992418+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T04019F1NRCA551,2019-11-12 02:35:33.489875+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-1333BJ19F00184008,2019-11-13 03:54:24.623543+00,,DEPARTMENT OF COMMERCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SPE60418FA0BA,2019-11-12 02:26:10.390739+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-2032H519F00920,2019-11-12 04:12:17.182377+00,,DEPARTMENT OF THE TREASURY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SP470119C0028,2019-11-12 03:20:43.820581+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SPE60419FA0CA,2019-11-12 02:45:48.079236+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T01018F1NOTD702,2019-11-12 02:57:20.432044+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HHSD2002010372100021,2019-11-12 03:45:28.989805+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HC104715F0033,2019-11-12 01:56:21.625278+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T04019F1NRCA101,2019-11-12 02:35:40.534825+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75D30119F06933,2019-11-12 04:25:18.247111+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-VA11816F1191,2019-11-13 05:25:57.832518+00,,DEPARTMENT OF VETERANS AFFAIRS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-W81XWH18F0482,2019-11-12 04:27:19.418219+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-19AQMM18F5408,2019-11-12 04:11:21.742113+00,,DEPARTMENT OF STATE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75FCMC18F0033,2019-11-12 02:56:42.819907+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75F40118F10165,2019-11-13 05:43:41.005703+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-89603019P0018,2019-11-12 01:37:19.802758+00,DEC066_DOEACC_gov,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T04019F1NAP6200,2019-11-12 02:35:34.095773+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-N0018917FZ309,2019-11-12 01:39:04.210866+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HHSN27600018,2019-11-12 04:18:06.85909+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-28321319FA0010126,2019-11-12 03:41:34.033815+00,,SOCIAL SECURITY ADMINISTRATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-12314418F0698,2019-11-13 03:25:29.417689+00,,DEPARTMENT OF AGRICULTURE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-1331L519FNFFK0316,2019-11-13 01:47:38.890716+00,,DEPARTMENT OF COMMERCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HT005018F0037,2019-11-12 03:45:55.321494+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCEMS15F00026,2019-11-12 02:49:59.401081+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-N0018919FZ665,2019-11-12 01:48:53.013852+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-28321319FA0010154,2019-11-12 04:36:21.154342+00,,SOCIAL SECURITY ADMINISTRATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T04019F1NRCA856,2019-11-12 02:35:33.154732+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75D30119F06853,2019-11-12 01:56:55.0424+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75P00119F80020,2019-11-12 03:30:39.511468+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-80HQTR18F0238,2019-11-12 01:36:56.349098+00,,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-16PBGC19F0012,2019-11-12 02:58:03.23079+00,,PENSION BENEFIT GUARANTY CORPORATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSTS0117CHRM057,2019-11-13 01:54:10.738953+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-15F06719F0002552,2019-11-12 02:40:00.589359+00,,DEPARTMENT OF JUSTICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-36C10X19F0036,2019-11-12 04:25:12.762209+00,,DEPARTMENT OF VETERANS AFFAIRS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-12314419F0151,2019-11-12 05:17:56.977228+00,,DEPARTMENT OF AGRICULTURE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-W81XWH16F0333,2019-11-12 04:18:08.079542+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-N6247317F3000,2019-11-12 04:23:09.583982+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-70T04019F1NAP4043,2019-11-12 02:35:33.54424+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-36C10X18N0096,2019-11-14 13:09:54.935955+00,,DEPARTMENT OF VETERANS AFFAIRS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-1331L518F13ES0579,2019-11-14 09:39:40.686083+00,,DEPARTMENT OF COMMERCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-W81XWH18F0073,2019-11-14 09:39:39.753241+00,,DEPARTMENT OF DEFENSE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-SAQMMA14L0330,2019-11-14 12:10:14.187977+00,,DEPARTMENT OF STATE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-140D0420F0012,2019-11-15 22:02:32.771687+00,,DEPARTMENT OF THE INTERIOR,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-VA101V17F0971,2019-10-21 16:21:52.069112+00,,DEPARTMENT OF VETERANS AFFAIRS,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSBP1005F05069,2019-11-16 22:00:46.728639+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HS0032,2019-11-16 23:35:58.228384+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCG2305FDNG249,2019-11-17 00:03:55.437344+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-15DDHQ19P00001140,2019-11-17 00:18:52.253624+00,,DEPARTMENT OF JUSTICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-75P00119F37021,2019-11-12 21:19:56.201444+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HHSF22317002,2019-11-11 10:08:38.145888+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HS0031,2019-11-16 23:03:07.433849+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCOW2A0035HSCALL14,2019-11-16 21:49:54.279642+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCOW2A0035CALL0008,2019-11-16 20:59:13.624653+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSHQDC05F00167,2019-11-17 00:21:59.51725+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCOW2A035CALL12,2019-11-16 21:01:12.362159+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HSCG2305FDNG171,2019-11-16 22:51:08.87123+00,,DEPARTMENT OF HOMELAND SECURITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-HHSN26300004,2019-11-12 04:36:22.182456+00,,DEPARTMENT OF HEALTH AND HUMAN SERVICES,DELOITTE LLP,OC303675,1
ocds-0c46vo-0384-DOCWO004,2019-11-12 01:44:26.660402+00,,DEPARTMENT OF COMMERCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-6265,2018-02-08 00:00:00+00,,BELFAST CITY COUNCIL,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-9974,2019-07-12 00:00:00+00,,"ROYAL NAVY, MINISTRY OF DEFENCE",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-6191,2018-01-31 00:00:00+00,,"DEPARTMENT FOR TRANSPORT, AVIATION SECURITY INTERNATIONAL OPERATIONS (ASIO) DIVISION.",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-9779,2019-05-30 00:00:00+00,,"GOVERNMENT DIGITAL SERVICE, PART OF CABINET OFFICE",DELOITTE LLP,OC303675,1
